month,count,median,mean,max
2023-02-01,1702,118800.0,117401.91539365452,363780.0
2023-03-01,2125,122400.0,118637.95764705882,381600.0
2023-04-01,2107,118800.0,116347.63170384432,378000.0
2023-05-01,2074,118920.0,117909.40212150433,370800.0
2023-06-01,2082,118800.0,117772.99711815562,374400.0
2023-07-01,2060,119100.0,117320.50485436893,349380.0
2023-08-01,2162,118800.0,116933.28399629972,378000.0
2023-09-01,2071,118800.0,117867.34910671173,381600.0
2023-10-01,2139,119040.0,117557.19495091164,403200.0
2023-11-01,2085,119040.0,118491.3381294964,388800.0
2023-12-01,2138,119040.0,116733.3395696913,378000.0
2024-01-01,2086,118800.0,116372.07094918504,396000.0
2024-02-01,1950,118920.0,116503.01538461538,363720.0
2024-03-01,2096,118920.0,118370.12404580152,385200.0
2024-04-01,1995,118980.0,118786.34586466165,367200.0
2024-05-01,2112,118800.0,116696.42045454546,349380.0
2024-06-01,2114,118800.0,116214.03973509934,385200.0
2024-07-01,2110,118920.0,116946.54028436019,389040.0
2024-08-01,2065,118800.0,116423.94188861985,367200.0
2024-09-01,2010,119040.0,117266.29850746269,403200.0
2024-10-01,2141,119100.0,117735.66557683326,410400.0
2024-11-01,2088,118980.0,118410.7183908046,374400.0
2024-12-01,2114,119100.0,117972.7719962157,374700.0
2025-01-01,2037,118980.0,117370.95729013254,363840.0
2025-02-01,210,115200.0,114231.14285714286,299100.0
