case_id,adjacent_repeats,loops
П00001,0,1
П00002,1,1
П00003,0,0
П00004,0,0
П00005,0,0
П00006,0,1
П00007,0,0
П00008,0,0
П00009,0,0
П00010,0,0
П00011,0,0
П00012,1,1
П00013,0,0
П00014,0,1
П00015,0,0
П00016,0,0
П00017,0,0
П00018,0,2
П00019,0,0
П00020,0,0
П00021,0,0
П00022,0,0
П00023,0,2
П00024,0,0
П00025,0,0
П00026,1,1
П00027,0,0
П00028,0,0
П00029,1,1
П00030,0,0
П00031,0,0
П00032,0,0
П00033,0,0
П00034,0,0
П00035,1,1
П00036,0,0
П00037,0,0
П00038,0,0
П00039,0,0
П00040,0,0
П00041,0,2
П00042,0,0
П00043,0,1
П00044,0,0
П00045,0,0
П00046,0,0
П00047,0,0
П00048,0,0
П00049,0,0
П00050,1,1
П00051,0,0
П00052,0,0
П00053,0,0
П00054,0,0
П00055,1,1
П00056,1,1
П00057,0,0
П00058,0,0
П00059,0,0
П00060,0,0
П00061,0,1
П00062,0,0
П00063,0,0
П00064,0,0
П00065,0,0
П00066,1,1
П00067,0,0
П00068,0,0
П00069,0,0
П00070,0,0
П00071,0,0
П00072,0,0
П00073,0,0
П00074,0,0
П00075,0,0
П00076,0,0
П00077,1,1
П00078,0,0
П00079,0,0
П00080,0,0
П00081,0,0
П00082,0,0
П00083,0,0
П00084,0,0
П00085,0,0
П00086,0,0
П00087,0,0
П00088,0,0
П00089,0,0
П00090,0,0
П00091,1,1
П00092,0,0
П00093,0,2
П00094,0,0
П00095,0,0
П00096,0,0
П00097,0,0
П00098,0,0
П00099,0,0
П00100,0,0
П00101,1,1
П00102,0,0
П00103,0,0
П00104,1,1
П00105,0,0
П00106,0,0
П00107,0,0
П00108,0,1
П00109,0,0
П00110,0,0
П00111,0,0
П00112,0,0
П00113,1,1
П00114,0,0
П00115,0,0
П00116,3,1
П00117,0,0
П00118,0,0
П00119,0,0
П00120,0,0
П00121,0,0
П00122,1,1
П00123,1,1
П00124,0,0
П00125,0,0
П00126,0,0
П00127,1,1
П00128,0,1
П00129,0,0
П00130,3,1
П00131,0,0
П00132,1,1
П00133,0,2
П00134,0,0
П00135,0,0
П00136,0,0
П00137,0,0
П00138,0,0
П00139,0,0
П00140,0,0
П00141,0,0
П00142,0,2
П00143,0,0
П00144,0,0
П00145,0,0
П00146,3,1
П00147,0,1
П00148,0,0
П00149,0,0
П00150,0,0
П00151,1,1
П00152,0,0
П00153,0,0
П00154,0,1
П00155,0,0
П00156,0,0
П00157,0,0
П00158,0,0
П00159,0,0
П00160,0,2
П00161,0,0
П00162,3,1
П00163,0,2
П00164,0,0
П00165,0,0
П00166,0,1
П00167,0,0
П00168,0,0
П00169,1,1
П00170,0,0
П00171,0,0
П00172,0,0
П00173,0,0
П00174,0,2
П00175,1,1
П00176,0,0
П00177,0,1
П00178,0,0
П00179,0,0
П00180,0,0
П00181,0,0
П00182,0,0
П00183,0,0
П00184,0,2
П00185,0,0
П00186,0,0
П00187,0,1
П00188,0,0
П00189,0,0
П00190,0,0
П00191,0,0
П00192,0,1
П00193,0,0
П00194,1,1
П00195,0,0
П00196,0,0
П00197,0,0
П00198,0,0
П00199,0,0
П00200,0,0
П00201,0,2
П00202,0,0
П00203,1,1
П00204,0,0
П00205,0,1
П00206,0,0
П00207,0,0
П00208,0,0
П00209,0,0
П00210,0,0
П00211,0,0
П00212,0,0
П00213,0,0
П00214,0,0
П00215,0,0
П00216,0,0
П00217,0,0
П00218,0,0
П00219,0,0
П00220,0,0
П00221,0,0
П00222,0,0
П00223,0,0
П00224,3,1
П00225,3,1
П00226,0,0
П00227,1,1
П00228,0,0
П00229,0,0
П00230,0,0
П00231,0,0
П00232,0,1
П00233,1,1
П00234,0,0
П00235,0,0
П00236,0,0
П00237,0,0
П00238,0,0
П00239,0,0
П00240,0,0
П00241,0,0
П00242,0,0
П00243,0,0
П00244,0,0
П00245,0,0
П00246,0,0
П00247,0,0
П00248,0,0
П00249,0,0
П00250,1,1
П00251,0,0
П00252,0,2
П00253,0,0
П00254,0,0
П00255,0,0
П00256,0,0
П00257,1,1
П00258,0,0
П00259,0,0
П00260,0,0
П00261,0,0
П00262,0,0
П00263,0,0
П00264,0,0
П00265,1,1
П00266,0,0
П00267,0,1
П00268,0,0
П00269,0,0
П00270,0,0
П00271,0,0
П00272,0,0
П00273,0,0
П00274,0,0
П00275,0,0
П00276,0,0
П00277,0,0
П00278,0,0
П00279,0,0
П00280,1,1
П00281,0,0
П00282,0,1
П00283,0,0
П00284,0,0
П00285,0,0
П00286,0,0
П00287,0,0
П00288,0,0
П00289,0,0
П00290,0,0
П00291,0,1
П00292,0,1
П00293,1,1
П00294,0,2
П00295,0,0
П00296,0,0
П00297,1,1
П00298,0,0
П00299,0,0
П00300,0,0
П00301,0,0
П00302,0,0
П00303,0,0
П00304,0,1
