variant,count
Регистрация претензии→Проверка документов→Урегулирование претензии→Утверждение претензии→Ремонт автомобиля→Подготовка итоговой документации→Закрытие страхового случая→Обзор произошедшего случая,9213
Регистрация претензии→Проверка документов→Урегулирование претензии→Урегулирование объёма убытков→Утверждение претензии→Получение страховых резервов→Отправка платежа→Закрытие страхового случая→Обзор произошедшего случая,4230
Регистрация претензии→Проверка документов→Урегулирование претензии→Утверждение претензии→Получение права на предъявление претензий от страхователя→Ремонт автомобиля→Подготовка итоговой документации→Закрытие страхового случая→Обзор произошедшего случая,3041
Регистрация претензии→Проверка документов→Урегулирование претензии→Отклонение претензии→Предъявление апелляции по претензии→Утверждение претензии→Закрытие страхового случая→Обзор произошедшего случая,1879
Регистрация претензии→Проверка документов→Проверка на мошенничество→Урегулирование претензии→Утверждение претензии→Ремонт автомобиля→Подготовка итоговой документации→Закрытие страхового случая→Обзор произошедшего случая,1688
Регистрация претензии→Проверка документов→Поиск потерянной документации→Проверка документов→Урегулирование претензии→Утверждение претензии→Ремонт автомобиля→Подготовка итоговой документации→Закрытие страхового случая→Обзор произошедшего случая,1335
Регистрация претензии→Проверка документов→Проверка на мошенничество→Урегулирование претензии→Урегулирование претензии→Утверждение претензии→Ремонт автомобиля→Подготовка итоговой документации→Закрытие страхового случая→Обзор произошедшего случая,1155
Регистрация претензии→Проверка документов→Урегулирование претензии→Отклонение претензии→Закрытие страхового случая→Обзор произошедшего случая,1081
Регистрация претензии→Проверка документов→Урегулирование претензии→Урегулирование объёма убытков→Отклонение претензии→Закрытие страхового случая→Обзор произошедшего случая,1039
Регистрация претензии→Проверка документов→Поиск потерянной документации→Проверка документов→Поиск потерянной документации→Проверка документов→Урегулирование претензии→Утверждение претензии→Ремонт автомобиля→Подготовка итоговой документации→Закрытие страхового случая→Обзор произошедшего случая,283
Регистрация претензии→Проверка документов→Проверка на мошенничество→Урегулирование претензии→Урегулирование претензии→Урегулирование претензии→Урегулирование претензии→Утверждение претензии→Ремонт автомобиля→Подготовка итоговой документации→Закрытие страхового случая→Обзор произошедшего случая,45
