variant,count
Регистрация претензии→Проверка документов→Проверка на мошенничество→Урегулирование претензии→Урегулирование претензии→Утверждение претензии→Ремонт автомобиля→Подготовка итоговой документации→Закрытие страхового случая→Обзор произошедшего случая,2021
Регистрация претензии→Проверка документов→Проверка на мошенничество→Урегулирование претензии→Урегулирование претензии→Урегулирование претензии→Урегулирование претензии→Утверждение претензии→Ремонт автомобиля→Подготовка итоговой документации→Закрытие страхового случая→Обзор произошедшего случая,1381
Регистрация претензии→Проверка документов→Поиск потерянной документации→Проверка документов→Поиск потерянной документации→Проверка документов→Урегулирование претензии→Утверждение претензии→Ремонт автомобиля→Подготовка итоговой документации→Закрытие страхового случая→Обзор произошедшего случая,703
Регистрация претензии→Проверка документов→Поиск потерянной документации→Проверка документов→Урегулирование претензии→Утверждение претензии→Ремонт автомобиля→Подготовка итоговой документации→Закрытие страхового случая→Обзор произошедшего случая,624
Регистрация претензии→Проверка документов→Проверка на мошенничество→Урегулирование претензии→Утверждение претензии→Ремонт автомобиля→Подготовка итоговой документации→Закрытие страхового случая→Обзор произошедшего случая,135
Регистрация претензии→Проверка документов→Урегулирование претензии→Урегулирование объёма убытков→Утверждение претензии→Получение страховых резервов→Отправка платежа→Закрытие страхового случая→Обзор произошедшего случая,115
Регистрация претензии→Проверка документов→Урегулирование претензии→Утверждение претензии→Получение права на предъявление претензий от страхователя→Ремонт автомобиля→Подготовка итоговой документации→Закрытие страхового случая→Обзор произошедшего случая,90
Регистрация претензии→Проверка документов→Урегулирование претензии→Утверждение претензии→Ремонт автомобиля→Подготовка итоговой документации→Закрытие страхового случая→Обзор произошедшего случая,68
Регистрация претензии→Проверка документов→Урегулирование претензии→Отклонение претензии→Предъявление апелляции по претензии→Утверждение претензии→Закрытие страхового случая→Обзор произошедшего случая,16
Регистрация претензии→Проверка документов→Урегулирование претензии→Урегулирование объёма убытков→Отклонение претензии→Закрытие страхового случая→Обзор произошедшего случая,4
